epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3745.49,0.96262,0.51207,1.18973,0.95814,0.99537,0.99333,0.63364,1.25048,0.52678,1.47778,0.000743769,0.000743769,0.000743769
90,3786.45,0.97199,0.53118,1.14496,0.98801,0.95652,0.99038,0.65422,1.21685,0.51077,1.43796,0.000723859,0.000723859,0.000723859
91,3827.99,1.02903,0.53517,1.151,0.98219,0.95652,0.9918,0.68803,1.16388,0.49372,1.36912,0.000704073,0.000704073,0.000704073
92,3873.84,1.01986,0.56314,1.16189,0.95819,0.99658,0.99333,0.69336,1.12636,0.49676,1.33287,0.000684422,0.000684422,0.000684422
93,3915.19,0.97406,0.48908,1.17109,0.99945,0.95652,0.98786,0.68773,1.11359,0.49448,1.3431,0.000664914,0.000664914,0.000664914
94,3955.92,0.99944,0.5318,1.16993,0.95816,0.99577,0.99333,0.64674,1.1874,0.53121,1.42665,0.000645557,0.000645557,0.000645557
95,3998.09,0.9877,0.49898,1.12307,0.98805,0.95652,0.98567,0.63364,1.21254,0.53698,1.45941,0.00062636,0.00062636,0.00062636
96,4039.15,0.9403,0.47705,1.09021,0.9923,0.95652,0.98672,0.63145,1.26247,0.52961,1.45831,0.000607331,0.000607331,0.000607331
97,4081.09,0.97904,0.48907,1.12965,0.99491,0.95652,0.99038,0.66135,1.26392,0.53058,1.42424,0.000588479,0.000588479,0.000588479
98,4122.53,0.91619,0.50064,1.09633,0.99604,0.95652,0.955,0.68741,1.19387,0.4976,1.37,0.000569811,0.000569811,0.000569811
99,4164.56,1.01144,0.54565,1.17599,0.95809,0.99423,0.99333,0.67271,1.17831,0.47784,1.35101,0.000551337,0.000551337,0.000551337
100,4205.86,0.93506,0.45841,1.10478,1,0.95624,0.955,0.64727,1.2075,0.48113,1.37648,0.000533064,0.000533064,0.000533064
101,4246.22,0.93817,0.47916,1.12002,0.99168,0.95652,0.955,0.61114,1.23846,0.47384,1.42324,0.000515,0.000515,0.000515
102,4286.24,0.91078,0.48905,1.07909,0.99321,0.95652,0.97236,0.66448,1.20431,0.48388,1.39193,0.000497153,0.000497153,0.000497153
103,4328.15,0.96386,0.50351,1.11933,0.98979,0.95652,0.97417,0.66203,1.17781,0.4729,1.35141,0.000479531,0.000479531,0.000479531
104,4369.12,0.94833,0.47974,1.15774,1,0.94986,0.955,0.66877,1.15943,0.47147,1.34874,0.000462142,0.000462142,0.000462142
105,4410.77,0.88317,0.46867,1.06193,1,0.94792,0.96984,0.68249,1.1535,0.46407,1.33959,0.000444994,0.000444994,0.000444994
